Image,Ratings,Price,Description
images/41KPnV6FZeL._AC_SX679_.jpg,3.9,"$255
57","ROOM FOR ALL YOUR PERIPHERALS: Enjoy easy access to monitors, networks, power and peripherals with multiple ports available. This windows and mac docking station has 12 ports including Thunderbolt, USB-A, USB-C, Ethernet, SD and Audio ports - all through a single cable.
POWER TO SHARE: This charging dock is the perfect way to keep your laptop powered up and ready to go. With its included 170W power supply unit, the Thunderbolt 3 Dock Pro can provide up to 85W of power for a connected laptop. Also known as ""upstream charging,"" this keeps your laptop charged while in use, without a separate power cable.
ULTRA-HIGH DEFINITION MONITOR SUPPORT: Enjoy ultra-high definition 4K dual monitor support to create a versatile working station. This Belkin docking station makes it easy to connect and use two monitors at once, while also charging your device at the same time.
THUNDERBOLT CABLE INCLUDED: The dock also includes a thunderbolt cable, which is 2.6ft / 0.8m long. This allows you to connect your laptop to the dock from further away, making it more versatile for different desk configurations.
THE ULTIMATE WORKSTATION: This Belkin Thunderbolt Docking station is the best in class when it comes to power, speed and pixels. This smart dock is compatible with Mac and Windows, simply connect your Thunderbolt 3 or USB-C laptop to instantly create a powerful workstation."
images/81U5PKqc2VL._AC_SX679_.jpg,4.5,"$189
99","23.8"" ultra-slim VA FHD panel, 3-side NearEdgeless, 16:9 widescreen monitor with 1920 x 1080 resolution
Built-in AMD FreeSync technology, 75Hz refresh rate, and 4ms (Extreme Mode) response time let you enjoy fluid visuals free from image tearing and stuttering
Reduce eye strain with TÜV Rheinland Low Blue Light technology and an anti-glare screen
Watch in comfort – the L24e-30 computer monitor has a -5° / 22° tilt angle and is 100x100mm VESA mountable; it also offers ThinkCentre M Series Tiny Support and Nano Support
Connect easily via HDMI 1.4 or VGA, plus 3.5mm audio out; integrated cable management keeps cords out of the way"
images/71GjVA-N1bL._AC_SX679_.jpg,4.7,"$139
00","27” Full HD (1920 x 1080) IPS monitor with a wide 178° viewing angle
Aspect Ratio is 16:9; Viewing Angle (CR≧10) is 178°/ 178°; Brightness (Typ) is 250cd/㎡
Flexible connectivity with dual HDMI and VGA ports
Panoramic viewing immersion with multi-display setups
0.27” Ultra Slim body with frameless design is great for multi-monitor viewing in style; Brightness(Max) : 250 cd/㎡
Asus Eye Care technology with flicker-free backlighting and blue light filter to minimize eye fatigue"
images/61XoTFd1NHL._AC_SX679_.jpg,4.5,"$299
99","ADVANCED TOUCH SCREEN: With a robust, scratch-resistant 10-point multi-touch Full HD 1080p touchscreen, versatile connections and the TD2423d is ideal for retail, education or enterprise spaces
DURABLE VERSATILITY: Freestanding slim-bezel tablet design with muted black finish, stable adjustable stand and durable 7H scratch-resistant surface
RAZOR-SHARP IMAGES: With a 1000:1 static contrast ratio and two built-in speakers, the TD2423d delivers incredibly bright razor sharp images designed to last in high-traffic applications
ENHANCED VIEWING COMFORT: Enjoy less eye strain and fatigue with flicker-free technology and a built-in blue light filter
CROSS-PLATFORM COMPATIBILITY: Supports Windows, Linux, Chrome, and Android
MULTI-TOUCH FOR MacOS: MacOS users can access a full range of touch and gesture controls on external ViewSonic TD touch displays connected to their Apple devices using the vTouch driver
INCLUDED IN THE BOX: TD2423d Monitor, Power Cable, USB Type C Cable, USB Type B Uplink Cable and a Quick Start Guide"
images/71gY50ZQDqL._AC_SX679_.jpg,4,,"23. 8"" Full HD (1920 x 1080) Widescreen IPS Display
Intuitive 10 Point Multi-Touch Screen & Zero-Frame Design
Dual-Hinge Tiltable Stand | 4ms Response Time| IPS Panel | 2 speakers, 2 watts per speaker
Ports: 1 x USB 3. 1 Type-C. 1 x HDMI, 1 x VGA & 2 x USB 3. 0 Ports
Windows 10 Only
60 hertz"
images/81TPh2zM8pS._AC_SX679_.jpg,4.4,"$400
99","24.5"" Full HD (1920 x 1080) Widescreen Dual Driver IPS Gaming Zero-Frame Monitor | 2 Speakers, 2 Watts Per Speaker
NVIDIA G-SYNC | NVIDIA G-SYNC eSports Mode | NVIDIA Reflex Latency Analyzer
Refresh Rate: Up to 360Hz | Response Time: Up to 0.3ms (G to G) | VESA Certified DisplayHDR 400 | Pixel Pitch: 0.28mm | Color Gamut: 99% sRGB
Ergonomic Tilt: -5° to 25° | Height Adjustment Range: 4.5"" | Swivel: plus/- 20° | Pivot: plus/- 90°
Ports: 1 x Display Port 1.4, 2 x HDMI 2.0, 1 x Audio-out & 3 x USB 3.0 Ports (Display Port, HDMI & USB Cable Included)"
images/6152ClgAGkL._AC_SX679_.jpg,4.4,"$249
99","FORM & FUNCTION: With modern design, 2K WQHD (2560x1440p) resolution, and premium IPS panel, this monitors look as good as it performs
LARGE SCREEN: See all and do all from a single monitor; for any office application ranging from document editing to graphic design
AMAZING AT ANY ANGLE: A SuperClear IPS panel ensures stunning views no matter your vantage point
ENHANCED VIEWING COMFORT: Flicker-Free technology and Blue Light Filter for all-day comfort
FLEXIBLE CONNECTIVITY: The VX3211-2K-MHD supports laptops, PCs, and Macs with HDMI 1.4, DisplayPort, and VGA inputs
INCLUDED IN THE BOX: LCD Monitor, Power Cable, HDMI Cable, and Audio Cable"
images/81Cf9+NW+tL._AC_SX679_.jpg,4.7,"$152
80","23.8-inch Full HD (1920 x 1080) gaming monitor with ultrafast 165Hz (overclockable) refresh rate designed for professional gamers and immersive gameplay
ASUS Extreme Low Motion Blur (ELMB ) technology enables a 1ms response time (MPRT) together with Adaptive-sync, eliminating ghosting and tearing for sharp gaming visuals with high frame rates
FreeSync Premium technology supported through both DisplayPort and HDMI ports provides variable refresh rates for low latency, stuttering-free and tearing-free gaming
Shadow Boost automatically brightens dark areas, making it easier to spot enemies hidden in shaded areas of the map
ASUS-Exclusive GamePlus hotkeys offer in-game enhancements that help you get more out of your game
Rich connectivity with DisplayPort1.2 and HDMI (v1.4) x2 ports
What’s in the box: HDMI cable (1.8M), DisplayPort cable (1.8M), Power Cord & Adapter, Warranty card, Quick Start Guide"
images/61HjHR0ilFL._AC_SX679_.jpg,4.6,"$139
99","BE THE DIFFERENCE: Full HD 1080p (1920x1080p) resolution, 1ms (MPRT) response time, and 165Hz refresh rate (with DisplayPort) gives you the ultimate enthusiast experience
ULTRA-SMOOTH GAMING: VESA Adaptive-Sync automatically calibrates frame rates and eliminates screen tearing for ultra-smooth gameplay
ENHANCED VIEWING COMFORT: Flicker-Free technology and Blue Light Filter for all-day comfort
GAME ON: An arsenal of pre-set customizable visual modes keeps you ready for any FPS, RTS, or MOBA games
FLEXIBLE CONNECTIVITY: The VX2418-P-MHD supports laptops, PCs, and Macs with HDMI and DisplayPort inputs
INCLUDED IN THE BOX: LCD Monitor, Power Cable, DisplayPort Cable, and Quick Start Guide"
images/61ui-dpPssL._AC_SX679_.jpg,4.3,"$289
99","22-Inch Full HD 1080p (1920x1080) 16:9 LED Touch Screen Monitor with HDMI, DisplayPort, USB 3.0, and VGA Inputs
With a robust, scratch resistant 10-point multi-touch Full HD 1080p touchscreen, versatile connections, and the TD2230 is ideal for use in retail, education, or enterprise
Freestanding slim bezel tablet design with muted black finish, stable adjustable stand, and 7H scratch resistant surface
50M:1 Dynamic Contrast Ratio; Two Built-In Speaker; 178/178 Degree Viewing Angles; Physical Dimensions: 19.3” x 11.8” x 5.1”
Multi-Touch for MacOS: MacOS users can access a full range of touch and gesture controls on external ViewSonic TD touch displays connected to their Apple devices using the vTouch driver"
